n_words,chapter,date
352,1,2020-06-20
1748,2,2020-06-20
5,3,2020-06-20
1471,4,2020-06-20
2,5,2020-06-20
3,6,2020-06-20
2,7,2020-06-20
3,8,2020-06-20
3,9,2020-06-20
3,10,2020-06-20
3,11,2020-06-20
1,12,2020-06-20
4,13,2020-06-20
6,14,2020-06-20
352,1,2020-06-25
2072,2,2020-06-25
5,3,2020-06-25
1934,4,2020-06-25
2,5,2020-06-25
3,6,2020-06-25
2,7,2020-06-25
3,8,2020-06-25
3,9,2020-06-25
3,10,2020-06-25
3,11,2020-06-25
1,12,2020-06-25
4,13,2020-06-25
6,14,2020-06-25
352,1,2020-07-03
2639,2,2020-07-03
5,3,2020-07-03
2010,4,2020-07-03
2,5,2020-07-03
3,6,2020-07-03
2,7,2020-07-03
3,8,2020-07-03
3,9,2020-07-03
3,10,2020-07-03
3,11,2020-07-03
1,12,2020-07-03
4,13,2020-07-03
6,14,2020-07-03
352,1,2020-07-14
2639,2,2020-07-14
5,3,2020-07-14
3035,4,2020-07-14
2,5,2020-07-14
3,6,2020-07-14
2,7,2020-07-14
3,8,2020-07-14
3,9,2020-07-14
3,10,2020-07-14
3,11,2020-07-14
1,12,2020-07-14
4,13,2020-07-14
6,14,2020-07-14
352,1,2020-07-27
2639,2,2020-07-27
5,3,2020-07-27
3035,4,2020-07-27
2,5,2020-07-27
3,6,2020-07-27
2,7,2020-07-27
3,8,2020-07-27
3,9,2020-07-27
3,10,2020-07-27
3,11,2020-07-27
1,12,2020-07-27
4,13,2020-07-27
6,14,2020-07-27
352,1,2020-08-01
3207,2,2020-08-01
5,3,2020-08-01
3528,4,2020-08-01
2,5,2020-08-01
3,6,2020-08-01
2,7,2020-08-01
3,8,2020-08-01
3,9,2020-08-01
3,10,2020-08-01
3,11,2020-08-01
1,12,2020-08-01
4,13,2020-08-01
6,14,2020-08-01
352,1,2020-08-06
3969,2,2020-08-06
5,3,2020-08-06
3528,4,2020-08-06
2,5,2020-08-06
3,6,2020-08-06
2,7,2020-08-06
3,8,2020-08-06
3,9,2020-08-06
3,10,2020-08-06
3,11,2020-08-06
1,12,2020-08-06
4,13,2020-08-06
6,14,2020-08-06
352,1,2020-08-11
8244,2,2020-08-11
5,3,2020-08-11
6,4,2020-08-11
2,5,2020-08-11
3,6,2020-08-11
2,7,2020-08-11
3,8,2020-08-11
3,9,2020-08-11
3,10,2020-08-11
3,11,2020-08-11
1,12,2020-08-11
4,13,2020-08-11
6,14,2020-08-11
352,1,2020-08-17
8580,2,2020-08-17
5,3,2020-08-17
6,4,2020-08-17
2,5,2020-08-17
3,6,2020-08-17
2,7,2020-08-17
3,8,2020-08-17
3,9,2020-08-17
3,10,2020-08-17
3,11,2020-08-17
1,12,2020-08-17
4,13,2020-08-17
6,14,2020-08-17
352,1,2020-08-24
8585,2,2020-08-24
5,3,2020-08-24
6,4,2020-08-24
613,5,2020-08-24
3,6,2020-08-24
2,7,2020-08-24
3,8,2020-08-24
3,9,2020-08-24
3,10,2020-08-24
3,11,2020-08-24
1,12,2020-08-24
4,13,2020-08-24
6,14,2020-08-24
352,1,2020-08-31
8792,2,2020-08-31
5,3,2020-08-31
6,4,2020-08-31
932,5,2020-08-31
3,6,2020-08-31
2,7,2020-08-31
3,8,2020-08-31
3,9,2020-08-31
3,10,2020-08-31
3,11,2020-08-31
1,12,2020-08-31
4,13,2020-08-31
6,14,2020-08-31
352,1,2020-09-07
8792,2,2020-09-07
5,3,2020-09-07
6,4,2020-09-07
1601,5,2020-09-07
3,6,2020-09-07
2,7,2020-09-07
3,8,2020-09-07
3,9,2020-09-07
3,10,2020-09-07
3,11,2020-09-07
1,12,2020-09-07
4,13,2020-09-07
6,14,2020-09-07
352,1,2020-09-14
8794,2,2020-09-14
5,3,2020-09-14
6,4,2020-09-14
1940,5,2020-09-14
3,6,2020-09-14
2,7,2020-09-14
3,8,2020-09-14
3,9,2020-09-14
3,10,2020-09-14
3,11,2020-09-14
1,12,2020-09-14
4,13,2020-09-14
6,14,2020-09-14
352,1,2020-09-21
8794,2,2020-09-21
5,3,2020-09-21
6,4,2020-09-21
2571,5,2020-09-21
3,6,2020-09-21
2,7,2020-09-21
3,8,2020-09-21
3,9,2020-09-21
3,10,2020-09-21
3,11,2020-09-21
1,12,2020-09-21
4,13,2020-09-21
6,14,2020-09-21
352,1,2020-09-26
8794,2,2020-09-26
5,3,2020-09-26
324,4,2020-09-26
3098,5,2020-09-26
3,6,2020-09-26
2,7,2020-09-26
3,8,2020-09-26
3,9,2020-09-26
3,10,2020-09-26
3,11,2020-09-26
1,12,2020-09-26
4,13,2020-09-26
6,14,2020-09-26
352,1,2020-10-01
8794,2,2020-10-01
5,3,2020-10-01
324,4,2020-10-01
3587,5,2020-10-01
3,6,2020-10-01
2,7,2020-10-01
3,8,2020-10-01
3,9,2020-10-01
3,10,2020-10-01
